"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order","category"
15,3,382.909,382.909,0,109,109,0,29,29,0,80,80,0,17,"Pattern cycling"
16,0,265767,265767,0,255,255,0,87,87,0,168,168,0,140,"Pattern cycling"
16,1,2869060,2869060,0,257,257,0,57,57,0,200,200,0,140,"Pattern cycling"
16,2,246724,246724,0,231,231,0,64,64,0,167,167,0,140,"Pattern cycling"
16,3,87130.6,87130.6,0,198,198,0,45,45,0,153,153,0,140,"Pattern cycling"
17,0,198699000,198699000,0,439,439,0,182,182,0,257,257,0,90,"Loop"
17,1,38458.7,38458.7,0,271,271,0,129,129,0,142,142,0,90,"Loop"
17,2,108902,108902,0,387,387,0,231,231,0,156,156,0,90,"Loop"
17,3,33145,33145,0,423,423,0,283,283,0,140,140,0,90,"Loop"
18,0,108902,108902,0,251,251,0,95,95,0,156,156,0,174,"Pattern cycling"
18,1,70170300,70170300,0,274,274,0,31,31,0,243,243,0,174,"Pattern cycling"
18,2,26693200,26693200,0,285,285,0,55,55,0,230,230,0,174,"Pattern cycling"
18,3,2472650,2472650,0,219,219,0,21,21,0,198,198,0,174,"Pattern cycling"
19,0,48384900,48384900,0,290,290,0,52,52,0,238,238,0,121,"Pattern cycling"
19,1,117307,117307,0,185,185,0,28,28,0,157,157,0,121,"Pattern cycling"
19,2,64716.6,64716.6,0,184,184,0,35,35,0,149,149,0,121,"Pattern cycling"
19,3,101099,101099,0,173,173,0,18,18,0,155,155,0,121,"Pattern cycling"
20,0,117307,117307,0,163,163,0,6,6,0,157,157,0,108,"Spiraling"
20,1,69711.5,69711.5,0,162,162,0,12,12,0,150,150,0,108,"Spiraling"
20,2,212635,212635,0,170,170,0,5,5,0,165,165,0,108,"Spiraling"
20,3,11705.1,11705.1,0,137,137,0,11,11,0,126,126,0,108,"Spiraling"
21,0,1175640,1175640,0,212,212,0,24,24,0,188,188,0,129,"Pattern cycling"
21,1,197400,197400,0,170,170,0,6,6,0,164,164,0,129,"Pattern cycling"
21,2,481738,481738,0,183,183,0,7,7,0,176,176,0,129,"Pattern cycling"
21,3,146619,146619,0,181,181,0,21,21,0,160,160,0,129,"Pattern cycling"
22,0,555.315,555.315,0,90,90,0,5,5,0,85,85,0,7,"Pattern cycling"
22,1,14629.9,14629.9,0,146,146,0,17,17,0,129,129,0,7,"Pattern cycling"
22,2,19696.8,19696.8,0,150,150,0,17,17,0,133,133,0,7,"Pattern cycling"
22,3,515.526,515.526,0,106,106,0,22,22,0,84,84,0,7,"Pattern cycling"
23,0,117307,117307,0,201,201,0,44,44,0,157,157,0,96,"Plowing"
23,1,69711.5,69711.5,0,204,204,0,54,54,0,150,150,0,96,"Plowing"
23,2,21217.1,21217.1,0,171,171,0,37,37,0,134,134,0,96,"Plowing"
23,3,0,0,0,16,16,0,860,860,0,-844,-844,0,96,"Plowing"
24,0,197400,197400,0,167,167,0,3,3,0,164,164,0,145,"Pattern cycling"
24,1,308374,308374,0,175,175,0,5,5,0,170,170,0,145,"Pattern cycling"
24,2,183256,183256,0,172,172,0,9,9,0,163,163,0,145,"Pattern cycling"
24,3,752563,752563,0,211,211,0,29,29,0,182,182,0,145,"Pattern cycling"
25,0,6457.53,6457.53,0,206,206,0,88,88,0,118,118,0,23,"Loop"
25,1,515.526,515.526,0,189,189,0,105,105,0,84,84,0,23,"Loop"
25,2,4133.65,4133.65,0,401,401,0,289,289,0,112,112,0,23,"Loop"
25,3,264.029,264.029,0,186,186,0,111,111,0,75,75,0,23,"Loop"
26,0,5565.3,5565.3,0,128,128,0,12,12,0,116,116,0,11,"Plowing"
26,1,1084.27,1084.27,0,106,106,0,12,12,0,94,94,0,11,"Plowing"
26,2,934.459,934.459,0,108,108,0,16,16,0,92,92,0,11,"Plowing"
26,3,1006.58,1006.58,0,116,116,0,23,23,0,93,93,0,11,"Plowing"
27,0,286279,286279,0,203,203,0,34,34,0,169,169,0,142,"Pattern cycling"
27,1,1266380,1266380,0,257,257,0,68,68,0,189,189,0,142,"Pattern cycling"
27,2,136114,136114,0,218,218,0,59,59,0,159,159,0,142,"Pattern cycling"
27,3,3329020,3329020,0,276,276,0,74,74,0,202,202,0,142,"Pattern cycling"
28,0,64716.6,64716.6,0,187,187,0,38,38,0,149,149,0,109,"Pattern cycling"
28,1,69711.5,69711.5,0,188,188,0,38,38,0,150,150,0,109,"Pattern cycling"
28,2,24618.6,24618.6,0,199,199,0,63,63,0,136,136,0,109,"Pattern cycling"
28,3,117307,117307,0,266,266,0,109,109,0,157,157,0,109,"Pattern cycling"
29,0,3.12447e+11,3.12447e+11,0,391,391,0,35,35,0,356,356,0,192,"Spiraling"
29,1,87704000,87704000,0,261,261,0,15,15,0,246,246,0,192,"Spiraling"
29,2,946798000,946798000,0,311,311,0,33,33,0,278,278,0,192,"Spiraling"
29,3,1019870000,1019870000,0,323,323,0,44,44,0,279,279,0,192,"Spiraling"
30,0,22854.6,22854.6,0,163,163,0,28,28,0,135,135,0,71,"Pattern cycling"
30,1,212635,212635,0,177,177,0,12,12,0,165,165,0,71,"Pattern cycling"
30,2,332175,332175,0,180,180,0,9,9,0,171,171,0,71,"Pattern cycling"
30,3,0,0,0,50,50,0,1248,1248,0,-1198,-1198,0,71,"Pattern cycling"
31,0,2.32579e+12,2.32579e+12,0,395,395,0,12,12,0,383,383,0,196,"Spiraling"
31,1,70632100000,70632100000,0,359,359,0,23,23,0,336,336,0,196,"Spiraling"
31,2,2.16861e+14,2.16861e+14,0,455,455,0,11,11,0,444,444,0,196,"Spiraling"
31,3,4.20659e+11,4.20659e+11,0,380,380,0,20,20,0,360,360,0,196,"Spiraling"
32,0,8.24951e+13,8.24951e+13,0,453,453,0,22,22,0,431,431,0,199,"Spiraling"
32,1,2.52178e+15,2.52178e+15,0,526,526,0,49,49,0,477,477,0,199,"Spiraling"
32,2,3.94811e+16,3.94811e+16,0,546,546,0,32,32,0,514,514,0,199,"Spiraling"
32,3,1.73886e+15,1.73886e+15,0,515,515,0,43,43,0,472,472,0,199,"Spiraling"
33,0,30770.1,30770.1,0,195,195,0,56,56,0,139,139,0,80,"Pattern cycling"
33,1,19696.8,19696.8,0,145,145,0,12,12,0,133,133,0,80,"Pattern cycling"
33,2,33145,33145,0,169,169,0,29,29,0,140,140,0,80,"Pattern cycling"
33,3,38458.7,38458.7,0,219,219,0,77,77,0,142,142,0,80,"Pattern cycling"
34,0,7492.79,7492.79,0,132,132,0,12,12,0,120,120,0,40,"Pattern cycling"
34,1,7492.79,7492.79,0,127,127,0,7,7,0,120,120,0,40,"Pattern cycling"
34,2,6955.92,6955.92,0,131,131,0,12,12,0,119,119,0,40,"Pattern cycling"
34,3,867.504,867.504,0,104,104,0,13,13,0,91,91,0,40,"Pattern cycling"
35,0,35703.1,35703.1,0,168,168,0,27,27,0,141,141,0,69,"Pattern cycling"
35,1,28565.4,28565.4,0,161,161,0,23,23,0,138,138,0,69,"Pattern cycling"
35,2,21217.1,21217.1,0,158,158,0,24,24,0,134,134,0,69,"Pattern cycling"
35,3,2117.07,2117.07,0,123,123,0,20,20,0,103,103,0,69,"Pattern cycling"
36,0,13581.7,13581.7,0,138,138,0,10,10,0,128,128,0,44,"Pattern cycling"
36,1,8071.09,8071.09,0,136,136,0,15,15,0,121,121,0,44,"Pattern cycling"
36,2,8694.03,8694.03,0,133,133,0,11,11,0,122,122,0,44,"Pattern cycling"
36,3,0,0,0,91,91,0,445,445,0,-354,-354,0,44,"Pattern cycling"
37,0,940608,940608,0,402,402,0,217,217,0,185,185,0,162,"Reactive meandering"
37,1,940608,940608,0,360,360,0,175,175,0,185,185,0,162,"Reactive meandering"
37,2,286279,286279,0,343,343,0,174,174,0,169,169,0,162,"Reactive meandering"
37,3,265767,265767,0,311,311,0,143,143,0,168,168,0,162,"Reactive meandering"
38,0,6.19471e+18,6.19471e+18,0,621,621,0,39,39,0,582,582,0,200,"Spiraling"
38,1,8.98389e+18,8.98389e+18,0,626,626,0,39,39,0,587,587,0,200,"Spiraling"
38,2,9.69846e+19,9.69846e+19,0,652,652,0,33,33,0,619,619,0,200,"Spiraling"
38,3,5.75085e+18,5.75085e+18,0,651,651,0,70,70,0,581,581,0,200,"Spiraling"
39,0,286279,286279,0,437,437,0,268,268,0,169,169,0,181,"Loop"
39,1,21356700,21356700,0,506,506,0,279,279,0,227,227,0,181,"Loop"
39,2,17087100,17087100,0,517,517,0,293,293,0,224,224,0,181,"Loop"
39,3,10154200,10154200,0,516,516,0,299,299,0,217,217,0,181,"Loop"
40,0,38458.7,38458.7,0,165,165,0,23,23,0,142,142,0,150,"Pattern cycling"
40,1,481738,481738,0,178,178,0,2,2,0,176,176,0,150,"Pattern cycling"
40,2,873213,873213,0,210,210,0,26,26,0,184,184,0,150,"Pattern cycling"
40,3,357813,357813,0,215,215,0,43,43,0,172,172,0,150,"Pattern cycling"
41,0,60079.6,60079.6,0,174,174,0,26,26,0,148,148,0,128,"Pattern cycling"
41,1,183256,183256,0,191,191,0,28,28,0,163,163,0,128,"Pattern cycling"
41,2,136114,136114,0,185,185,0,26,26,0,159,159,0,128,"Pattern cycling"
41,3,170125,170125,0,262,262,0,100,100,0,162,162,0,128,"Pattern cycling"
42,0,648583,648583,0,288,288,0,108,108,0,180,180,0,157,"Reactive meandering"
42,1,60079.6,60079.6,0,239,239,0,91,91,0,148,148,0,157,"Reactive meandering"
42,2,2295480,2295480,0,286,286,0,89,89,0,197,197,0,157,"Reactive meandering"
42,3,51778.5,51778.5,0,284,284,0,138,138,0,146,146,0,157,"Reactive meandering"
43,0,136114,136114,0,194,194,0,35,35,0,159,159,0,124,"Pattern cycling"
43,1,136114,136114,0,164,164,0,5,5,0,159,159,0,124,"Pattern cycling"
43,2,51778.5,51778.5,0,184,184,0,38,38,0,146,146,0,124,"Pattern cycling"
43,3,246724,246724,0,206,206,0,39,39,0,167,167,0,124,"Pattern cycling"
44,0,22854.6,22854.6,0,174,174,0,39,39,0,135,135,0,122,"Plowing"
44,1,229046,229046,0,199,199,0,33,33,0,166,166,0,122,"Plowing"
44,2,117307,117307,0,189,189,0,32,32,0,157,157,0,122,"Plowing"
44,3,0,0,0,55,55,0,67,67,0,-12,-12,0,122,"Plowing"
45,0,558969,558969,0,187,187,0,9,9,0,178,178,0,85,"Spiraling"
45,1,33145,33145,0,151,151,0,11,11,0,140,140,0,85,"Spiraling"
45,2,33145,33145,0,152,152,0,12,12,0,140,140,0,85,"Spiraling"
45,3,0,0,0,0,0,0,334,334,0,-334,-334,0,85,"Spiraling"
46,0,934.459,934.459,0,92,92,0,0,0,0,92,92,0,32,"Pattern cycling"
46,1,8071.09,8071.09,0,188,188,0,67,67,0,121,121,0,32,"Pattern cycling"
46,2,4452.69,4452.69,0,174,174,0,61,61,0,113,113,0,32,"Pattern cycling"
46,3,5166.54,5166.54,0,191,191,0,76,76,0,115,115,0,32,"Pattern cycling"
47,0,6955.92,6955.92,0,149,149,0,30,30,0,119,119,0,67,"Pattern cycling"
47,1,4452.69,4452.69,0,127,127,0,14,14,0,113,113,0,67,"Pattern cycling"
47,2,38458.7,38458.7,0,158,158,0,16,16,0,142,142,0,67,"Pattern cycling"
47,3,19696.8,19696.8,0,167,167,0,34,34,0,133,133,0,67,"Pattern cycling"
48,0,100.438,100.438,0,66,66,0,4,4,0,62,62,0,1,"Pattern cycling"
48,1,182.058,182.058,0,70,70,0,0,0,0,70,70,0,1,"Pattern cycling"
48,2,211.245,211.245,0,73,73,0,1,1,0,72,72,0,1,"Pattern cycling"
48,3,100.438,100.438,0,87,87,0,25,25,0,62,62,0,1,"Pattern cycling"
49,0,41427,41427,0,194,194,0,51,51,0,143,143,0,94,"Pattern cycling"
49,1,75091.9,75091.9,0,172,172,0,21,21,0,151,151,0,94,"Pattern cycling"
49,2,18285.5,18285.5,0,158,158,0,26,26,0,132,132,0,94,"Pattern cycling"
49,3,5166.54,5166.54,0,152,152,0,37,37,0,115,115,0,94,"Pattern cycling"
50,0,13581.7,13581.7,0,149,149,0,21,21,0,128,128,0,41,"Pattern cycling"
50,1,6955.92,6955.92,0,141,141,0,22,22,0,119,119,0,41,"Pattern cycling"
50,2,7492.79,7492.79,0,158,158,0,38,38,0,120,120,0,41,"Pattern cycling"
50,3,6457.53,6457.53,0,155,155,0,37,37,0,118,118,0,41,"Pattern cycling"
51,0,16975.4,16975.4,0,154,154,0,23,23,0,131,131,0,114,"Pattern cycling"
51,1,22854.6,22854.6,0,167,167,0,32,32,0,135,135,0,114,"Pattern cycling"
51,2,80887.6,80887.6,0,173,173,0,21,21,0,152,152,0,114,"Pattern cycling"
51,3,157936,157936,0,197,197,0,36,36,0,161,161,0,114,"Pattern cycling"
52,0,5601930,5601930,0,263,263,0,54,54,0,209,209,0,133,"Plowing"
52,1,170125,170125,0,214,214,0,52,52,0,162,162,0,133,"Plowing"
52,2,212635,212635,0,228,228,0,63,63,0,165,165,0,133,"Plowing"
52,3,93855.4,93855.4,0,199,199,0,45,45,0,154,154,0,133,"Plowing"
53,0,1582810,1582810,0,210,210,0,18,18,0,192,192,0,152,"Pattern cycling"
53,1,447221,447221,0,189,189,0,14,14,0,175,175,0,152,"Pattern cycling"
53,2,308374,308374,0,185,185,0,15,15,0,170,170,0,152,"Pattern cycling"
53,3,197400,197400,0,186,186,0,22,22,0,164,164,0,152,"Pattern cycling"
54,0,515.526,515.526,0,99,99,0,15,15,0,84,84,0,2,"Reactive meandering"
54,1,444.297,444.297,0,98,98,0,16,16,0,82,82,0,2,"Reactive meandering"
54,2,108.19,108.19,0,81,81,0,18,18,0,63,63,0,2,"Reactive meandering"
54,3,1.34634,1.34634,0,19,19,0,15,15,0,4,4,0,2,"Reactive meandering"
55,0,1355.2,1355.2,0,101,101,0,4,4,0,97,97,0,14,"Pattern cycling"
55,1,5166.54,5166.54,0,128,128,0,13,13,0,115,115,0,14,"Pattern cycling"
55,2,1459.8,1459.8,0,103,103,0,5,5,0,98,98,0,14,"Pattern cycling"
55,3,5994.84,5994.84,0,156,156,0,39,39,0,117,117,0,14,"Pattern cycling"
56,0,308374,308374,0,202,202,0,32,32,0,170,170,0,81,"Pattern cycling"
56,1,69711.5,69711.5,0,182,182,0,32,32,0,150,150,0,81,"Pattern cycling"
56,2,30770.1,30770.1,0,164,164,0,25,25,0,139,139,0,81,"Pattern cycling"
56,3,1084.27,1084.27,0,121,121,0,27,27,0,94,94,0,81,"Pattern cycling"
57,0,22854.6,22854.6,0,212,212,0,77,77,0,135,135,0,58,"Pattern cycling"
57,1,16975.4,16975.4,0,174,174,0,43,43,0,131,131,0,58,"Pattern cycling"
57,2,1459.8,1459.8,0,144,144,0,46,46,0,98,98,0,58,"Pattern cycling"
57,3,170125,170125,0,224,224,0,62,62,0,162,162,0,58,"Pattern cycling"
58,0,3307.26,3307.26,0,126,126,0,17,17,0,109,109,0,37,"Pattern cycling"
58,1,60079.6,60079.6,0,164,164,0,16,16,0,148,148,0,37,"Pattern cycling"
58,2,1006.58,1006.58,0,99,99,0,6,6,0,93,93,0,37,"Pattern cycling"
58,3,5565.3,5565.3,0,137,137,0,21,21,0,116,116,0,37,"Pattern cycling"
59,0,51778.5,51778.5,0,205,205,0,59,59,0,146,146,0,110,"Pattern cycling"
59,1,146619,146619,0,225,225,0,65,65,0,160,160,0,110,"Pattern cycling"
59,2,69711.5,69711.5,0,210,210,0,60,60,0,150,150,0,110,"Pattern cycling"
59,3,60079.6,60079.6,0,202,202,0,54,54,0,148,148,0,110,"Pattern cycling"
60,0,33145,33145,0,222,222,0,82,82,0,140,140,0,72,"Loop"
60,1,15759.1,15759.1,0,227,227,0,97,97,0,130,130,0,72,"Loop"
60,2,22854.6,22854.6,0,374,374,0,239,239,0,135,135,0,72,"Loop"
60,3,48068.5,48068.5,0,442,442,0,297,297,0,145,145,0,72,"Loop"
61,0,60079.6,60079.6,0,160,160,0,12,12,0,148,148,0,75,"Pattern cycling"
61,1,24618.6,24618.6,0,148,148,0,12,12,0,136,136,0,75,"Pattern cycling"
61,2,55774.8,55774.8,0,157,157,0,10,10,0,147,147,0,75,"Pattern cycling"
61,3,24618.6,24618.6,0,173,173,0,37,37,0,136,136,0,75,"Pattern cycling"
62,0,1469400,1469400,0,245,245,0,54,54,0,191,191,0,154,"Pattern cycling"
62,1,558969,558969,0,223,223,0,45,45,0,178,178,0,154,"Pattern cycling"
62,2,481738,481738,0,217,217,0,41,41,0,176,176,0,154,"Pattern cycling"
62,3,1013210,1013210,0,253,253,0,67,67,0,186,186,0,154,"Pattern cycling"
63,0,648583,648583,0,215,215,0,35,35,0,180,180,0,130,"Pattern cycling"
63,1,44918100,44918100,0,267,267,0,30,30,0,237,237,0,130,"Pattern cycling"
63,2,197400,197400,0,209,209,0,45,45,0,164,164,0,130,"Pattern cycling"
63,3,0,0,0,30,30,0,954,954,0,-924,-924,0,130,"Pattern cycling"
64,0,246724,246724,0,191,191,0,24,24,0,167,167,0,163,"Pattern cycling"
64,1,940608,940608,0,196,196,0,11,11,0,185,185,0,163,"Pattern cycling"
64,2,1364120,1364120,0,193,193,0,3,3,0,190,190,0,163,"Pattern cycling"
64,3,481738,481738,0,203,203,0,27,27,0,176,176,0,163,"Pattern cycling"
65,0,60079.6,60079.6,0,195,195,0,47,47,0,148,148,0,111,"Pattern cycling"
65,1,87130.6,87130.6,0,192,192,0,39,39,0,153,153,0,111,"Pattern cycling"
65,2,108902,108902,0,199,199,0,43,43,0,156,156,0,111,"Pattern cycling"
65,3,69711.5,69711.5,0,199,199,0,49,49,0,150,150,0,111,"Pattern cycling"
66,0,38458.7,38458.7,0,208,208,0,66,66,0,142,142,0,91,"Pattern cycling"
66,1,51778.5,51778.5,0,224,224,0,78,78,0,146,146,0,91,"Pattern cycling"
66,2,212635,212635,0,245,245,0,80,80,0,165,165,0,91,"Pattern cycling"
66,3,33145,33145,0,180,180,0,40,40,0,140,140,0,91,"Pattern cycling"
67,0,1582810,1582810,0,319,319,0,127,127,0,192,192,0,165,"Pattern cycling"
67,1,246724,246724,0,338,338,0,171,171,0,167,167,0,165,"Pattern cycling"
67,2,1091410,1091410,0,316,316,0,129,129,0,187,187,0,165,"Pattern cycling"
67,3,2663490,2663490,0,359,359,0,160,160,0,199,199,0,165,"Pattern cycling"
68,0,10937900,10937900,0,246,246,0,28,28,0,218,218,0,155,"Plowing"
68,1,212635,212635,0,198,198,0,33,33,0,165,165,0,155,"Plowing"
68,2,558969,558969,0,216,216,0,38,38,0,178,178,0,155,"Plowing"
68,3,0,0,0,60,60,0,71,71,0,-11,-11,0,155,"Plowing"
69,0,2280.47,2280.47,0,153,153,0,49,49,0,104,104,0,49,"Pattern cycling"
69,1,24618.6,24618.6,0,166,166,0,30,30,0,136,136,0,49,"Pattern cycling"
69,2,9365.04,9365.04,0,156,156,0,33,33,0,123,123,0,49,"Pattern cycling"
69,3,44624.4,44624.4,0,191,191,0,47,47,0,144,144,0,49,"Pattern cycling"
70,0,2646.07,2646.07,0,129,129,0,23,23,0,106,106,0,56,"Pattern cycling"
70,1,28565.4,28565.4,0,143,143,0,5,5,0,138,138,0,56,"Pattern cycling"
70,2,8071.09,8071.09,0,141,141,0,20,20,0,121,121,0,56,"Pattern cycling"
70,3,13581.7,13581.7,0,177,177,0,49,49,0,128,128,0,56,"Pattern cycling"
71,0,51778.5,51778.5,0,174,174,0,28,28,0,146,146,0,101,"Plowing"
71,1,136114,136114,0,199,199,0,40,40,0,159,159,0,101,"Plowing"
71,2,55774.8,55774.8,0,189,189,0,42,42,0,147,147,0,101,"Plowing"
71,3,69.2557,69.2557,0,126,126,0,69,69,0,57,57,0,101,"Plowing"
72,0,33145,33145,0,151,151,0,11,11,0,140,140,0,57,"Pattern cycling"
72,1,12608.5,12608.5,0,136,136,0,9,9,0,127,127,0,57,"Pattern cycling"
72,2,8694.03,8694.03,0,130,130,0,8,8,0,122,122,0,57,"Pattern cycling"
72,3,15759.1,15759.1,0,151,151,0,21,21,0,130,130,0,57,"Pattern cycling"
73,0,5200540,5200540,0,216,216,0,8,8,0,208,208,0,186,"Spiraling"
73,1,7001700,7001700,0,218,218,0,6,6,0,212,212,0,186,"Spiraling"
73,2,23005000,23005000,0,236,236,0,8,8,0,228,228,0,186,"Spiraling"
73,3,198699000,198699000,0,265,265,0,8,8,0,257,257,0,186,"Spiraling"
74,0,8071.09,8071.09,0,136,136,0,15,15,0,121,121,0,33,"Plowing"
74,1,2280.47,2280.47,0,124,124,0,20,20,0,104,104,0,33,"Plowing"
74,2,4796.36,4796.36,0,135,135,0,21,21,0,114,114,0,33,"Plowing"
74,3,156.903,156.903,0,96,96,0,28,28,0,68,68,0,33,"Plowing"
75,0,8124210,8124210,0,220,220,0,6,6,0,214,214,0,171,"Spiraling"
75,1,1978320,1978320,0,198,198,0,3,3,0,195,195,0,171,"Spiraling"
75,2,8124210,8124210,0,220,220,0,6,6,0,214,214,0,171,"Spiraling"
75,3,116.54,116.54,0,86,86,0,22,22,0,64,64,0,171,"Spiraling"
76,0,80887.6,80887.6,0,174,174,0,22,22,0,152,152,0,95,"Pattern cycling"
76,1,41427,41427,0,166,166,0,23,23,0,143,143,0,95,"Pattern cycling"
76,2,93855.4,93855.4,0,177,177,0,23,23,0,154,154,0,95,"Pattern cycling"
76,3,0,0,0,33,33,0,153,153,0,-120,-120,0,95,"Pattern cycling"
77,0,44918100,44918100,0,346,346,0,109,109,0,237,237,0,193,"Spiraling"
77,1,1716200000,1716200000,0,360,360,0,74,74,0,286,286,0,193,"Spiraling"
77,2,4188240000,4188240000,0,400,400,0,102,102,0,298,298,0,193,"Spiraling"
77,3,3090490,3090490,0,273,273,0,72,72,0,201,201,0,193,"Spiraling"
78,0,644.342,644.342,0,96,96,0,9,9,0,87,87,0,6,"Pattern cycling"
78,1,412.462,412.462,0,93,93,0,12,12,0,81,81,0,6,"Pattern cycling"
78,2,515.526,515.526,0,96,96,0,12,12,0,84,84,0,6,"Pattern cycling"
78,3,227.549,227.549,0,92,92,0,19,19,0,73,73,0,6,"Pattern cycling"
79,0,212635,212635,0,258,258,0,93,93,0,165,165,0,125,"Loop"
79,1,136114,136114,0,305,305,0,146,146,0,159,159,0,125,"Loop"
